iter	Passed	Remaining
0	245	294233
1	289	173569
2	323	129250
3	364	109030
4	397	95055
5	428	85226
6	462	78744
7	495	73769
8	528	69964
9	558	66448
10	597	64562
11	634	62801
12	672	61426
13	703	59612
14	727	57493
15	768	56900
16	810	56434
17	845	55505
18	877	54571
19	894	52792
20	925	51941
21	955	51185
22	987	50526
23	1018	49903
24	1051	49438
25	1098	49606
26	1137	49432
27	1174	49172
28	1210	48895
29	1246	48631
30	1260	47520
31	1293	47212
32	1331	47072
33	1366	46867
34	1414	47077
35	1452	46948
36	1493	46958
37	1514	46300
38	1552	46228
39	1596	46301
40	1638	46304
41	1674	46156
42	1711	46045
43	1748	45925
44	1787	45888
45	1814	45510
46	1854	45500
47	1888	45320
48	1920	45112
49	1953	44933
50	1992	44890
51	2027	44752
52	2054	44470
53	2088	44332
54	2105	43838
55	2142	43758
56	2174	43613
57	2189	43101
58	2219	42931
59	2258	42907
60	2310	43150
61	2345	43043
62	2382	42990
63	2416	42885
64	2452	42826
65	2473	42507
66	2506	42377
67	2537	42239
68	2568	42107
69	2601	41989
70	2634	41888
71	2655	41600
72	2687	41483
73	2697	41050
74	2730	40963
75	2779	41106
76	2812	41018
77	2856	41082
78	2909	41291
79	2945	41239
80	2968	41012
81	3001	40929
82	3037	40877
83	3071	40805
84	3104	40726
85	3138	40660
86	3172	40592
87	3205	40504
88	3221	40213
89	3257	40181
90	3290	40099
