iter	Passed	Remaining
0	172	206685
1	212	127355
2	251	100475
3	287	85867
4	324	77600
5	365	72659
6	403	68849
7	441	65802
8	482	63806
9	518	61728
10	558	60407
11	602	59627
12	650	59386
13	690	58478
14	735	58079
15	792	58653
16	834	58079
17	877	57592
18	904	56209
19	955	56366
20	995	55912
21	1037	55576
22	1076	55109
23	1114	54592
24	1153	54194
25	1191	53795
26	1198	52079
27	1236	51737
28	1274	51471
29	1292	50417
30	1336	50392
31	1373	50135
32	1414	50029
33	1478	50698
34	1516	50481
35	1554	50266
36	1592	50060
37	1630	49868
38	1676	49897
39	1717	49817
40	1733	48991
41	1775	48940
42	1814	48815
43	1853	48701
44	1893	48598
45	1935	48558
46	1980	48573
47	2019	48466
48	2061	48420
49	2076	47768
50	2115	47671
51	2160	47687
52	2213	47901
53	2258	47924
54	2297	47833
55	2361	48249
56	2407	48273
57	2451	48269
58	2492	48193
59	2510	47694
60	2550	47629
61	2605	47815
62	2651	47846
63	2690	47748
64	2723	47557
65	2760	47432
66	2802	47384
67	2843	47339
68	2886	47319
69	2931	47325
70	2970	47240
71	3015	47239
72	3061	47270
73	3108	47300
74	3146	47202
75	3206	47423
76	3244	47314
77	3256	46847
78	3296	46771
79	3336	46708
80	3350	46288
81	3392	46253
82	3438	46281
83	3484	46290
84	3522	46201
85	3563	46164
86	3604	46110
87	3647	46096
88	3683	45986
89	3698	45620
90	3737	45545
91	3781	45547
92	3824	45526
93	3864	45469
94	3904	45413
95	3943	45354
96	3984	45311
97	4021	45226
98	4060	45152
99	4096	45065
100	4120	44831
101	4158	44766
102	4177	44495
103	4216	44432
104	4256	44394
105	4295	44332
106	4335	44282
107	4377	44265
108	4419	44233
109	4442	44021
110	4483	43986
111	4522	43928
112	4563	43894
113	4600	43826
114	4642	43800
115	4680	43740
116	4718	43674
117	4739	43463
118	4783	43456
119	4826	43438
120	4868	43413
121	4909	43379
122	4951	43354
123	4991	43310
124	5032	43280
125	5052	43068
126	5091	43017
127	5111	42810
128	5152	42780
129	5201	42813
130	5233	42709
131	5278	42706
132	5324	42719
133	5370	42720
134	5411	42689
135	5456	42688
136	5471	42452
137	5526	42532
138	5567	42496
139	5609	42469
140	5636	42331
141	5678	42305
142	5718	42270
143	5753	42195
144	5795	42167
145	5837	42140
146	5863	42000
147	5907	41992
148	5950	41974
149	5990	41931
150	6027	41872
151	6064	41813
152	6101	41753
153	6143	41725
154	6179	41663
155	6207	41539
156	6219	41320
157	6262	41299
158	6301	41258
159	6342	41229
160	6381	41182
161	6427	41184
162	6447	41021
163	6488	40987
164	6526	40940
165	6568	40917
166	6609	40884
167	6648	40838
168	6685	40782
169	6722	40732
170	6761	40686
171	6797	40629
172	6835	40575
173	6874	40538
174	6912	40487
175	6955	40470
176	6999	40452
177	7066	40574
178	7112	40570
179	7150	40521
180	7189	40477
181	7231	40447
182	7267	40388
183	7305	40337
184	7342	40285
185	7381	40241
186	7424	40217
187	7461	40167
188	7496	40102
189	7536	40061
190	7574	40015
191	7615	39983
192	7653	39930
193	7694	39900
194	7736	39873
195	7774	39825
196	7815	39790
197	7856	39756
198	7901	39747
199	7939	39699
200	7976	39644
201	8017	39610
202	8056	39568
203	8098	39539
204	8139	39505
205	8200	39569
206	8240	39530
207	8278	39480
208	8319	39448
209	8361	39420
210	8399	39370
211	8439	39333
212	8482	39307
213	8532	39313
214	8586	39338
215	8627	39304
216	8669	39271
217	8708	39230
218	8747	39181
219	8786	39139
220	8825	39093
221	8866	39059
222	8902	39001
223	8938	38947
224	8976	38897
225	9013	38846
226	9051	38795
227	9093	38768
228	9132	38721
229	9173	38686
230	9210	38634
231	9250	38596
232	9290	38557
233	9330	38517
234	9373	38491
235	9413	38451
236	9454	38416
237	9500	38399
238	9538	38351
239	9577	38311
240	9615	38264
241	9653	38214
242	9689	38161
243	9730	38124
244	9767	38073
245	9810	38044
246	9851	38008
247	9889	37964
248	9946	37990
249	9988	37957
250	10025	37905
251	10065	37866
252	10108	37838
253	10151	37808
254	10193	37774
255	10235	37744
256	10272	37693
257	10309	37640
258	10348	37598
259	10386	37551
260	10424	37504
261	10468	37478
262	10517	37472
263	10570	37478
264	10610	37436
265	10650	37396
266	10689	37352
267	10734	37329
268	10771	37279
269	10807	37227
270	10846	37182
271	10883	37133
272	10921	37085
273	10988	37137
274	11025	37086
275	11066	37050
276	11107	37012
277	11149	36976
278	11201	36977
279	11246	36951
280	11283	36900
281	11323	36861
282	11361	36815
283	11399	36767
284	11439	36726
285	11480	36690
286	11522	36654
287	11563	36618
288	11601	36572
289	11640	36527
290	11680	36487
291	11722	36453
292	11762	36412
293	11803	36373
294	11846	36344
295	11890	36314
296	11930	36273
297	11971	36234
298	12019	36220
299	12057	36173
300	12094	36123
301	12136	36088
302	12173	36039
303	12216	36007
304	12261	35979
305	12308	35958
306	12359	35952
307	12403	35921
308	12445	35886
309	12498	35883
310	12547	35868
311	12616	35909
312	12662	35882
313	12705	35849
314	12749	35820
315	12789	35777
316	12828	35734
317	12883	35734
318	12922	35688
319	12961	35643
320	13002	35605
321	13045	35572
322	13083	35522
323	13129	35499
324	13169	35457
325	13209	35415
326	13249	35371
327	13287	35324
328	13326	35281
329	13391	35305
330	13448	35308
331	13491	35272
332	13538	35248
333	13578	35206
334	13620	35169
335	13661	35130
336	13698	35080
337	13734	35026
338	13772	34979
339	13815	34945
340	13858	34910
341	13901	34876
342	13936	34821
343	13974	34773
344	14013	34729
345	14052	34684
346	14089	34634
347	14142	34624
348	14178	34573
349	14221	34538
350	14261	34495
351	14303	34458
352	14341	34411
353	14383	34373
354	14425	34336
355	14471	34309
356	14511	34266
357	14549	34218
358	14585	34168
359	14623	34121
360	14660	34072
361	14699	34027
362	14738	33982
363	14779	33943
364	14818	33900
365	14857	33854
366	14902	33825
367	14939	33775
368	14976	33726
369	15019	33691
370	15059	33650
371	15100	33610
372	15140	33569
373	15177	33521
374	15211	33466
375	15253	33427
376	15310	33422
377	15355	33391
378	15394	33347
379	15438	33314
380	15473	33262
381	15512	33218
382	15552	33175
383	15595	33140
384	15635	33097
385	15674	33055
386	15713	33010
387	15761	32985
388	15798	32937
389	15835	32889
390	15875	32847
391	15915	32805
392	15955	32763
393	15992	32714
394	16027	32664
395	16065	32616
396	16101	32567
397	16139	32522
398	16175	32473
399	16219	32438
400	16260	32399
401	16306	32369
402	16346	32327
403	16386	32286
404	16427	32246
405	16468	32206
406	16512	32172
407	16560	32146
408	16603	32111
409	16644	32071
410	16683	32027
411	16725	31990
412	16766	31950
413	16802	31901
414	16841	31857
415	16879	31812
416	16917	31766
417	16957	31725
418	16999	31686
419	17036	31638
420	17074	31594
421	17114	31551
422	17151	31504
423	17189	31460
424	17228	31416
425	17273	31384
426	17313	31342
427	17354	31302
428	17394	31260
429	17434	31220
430	17473	31176
431	17514	31137
432	17556	31099
433	17597	31059
434	17640	31023
435	17690	30999
436	17728	30954
437	17768	30912
438	17805	30866
439	17846	30825
440	17891	30793
441	17933	30754
442	17972	30712
443	18010	30666
444	18045	30617
445	18084	30573
446	18122	30528
447	18160	30483
448	18197	30436
449	18236	30394
450	18278	30355
451	18319	30315
452	18356	30270
453	18414	30258
454	18451	30212
455	18490	30168
456	18527	30122
457	18568	30082
458	18606	30037
459	18643	29991
460	18682	29947
461	18720	29904
462	18760	29862
463	18799	29819
464	18835	29771
465	18874	29729
466	18914	29687
467	18966	29665
468	19010	29629
469	19053	29593
470	19091	29548
471	19137	29516
472	19174	29471
473	19212	29427
474	19249	29380
475	19287	29337
476	19325	29292
477	19363	29247
478	19400	29202
479	19442	29164
480	19483	29123
481	19525	29085
482	19563	29041
483	19622	29028
484	19663	28987
485	19707	28952
486	19749	28914
487	19790	28874
488	19833	28837
489	19900	28835
490	19957	28818
491	20026	28819
492	20065	28775
493	20112	28743
494	20149	28698
495	20189	28655
496	20224	28606
497	20264	28565
498	20300	28518
499	20338	28474
500	20378	28431
501	20420	28393
502	20460	28352
503	20504	28316
504	20542	28271
505	20585	28233
506	20627	28194
507	20666	28151
508	20703	28106
509	20743	28064
510	20792	28035
511	20837	27999
512	20874	27955
513	20987	28010
514	21029	27971
515	21076	27939
516	21142	27931
517	21184	27891
518	21223	27848
519	21263	27805
520	21303	27763
521	21344	27723
522	21383	27679
523	21423	27637
524	21461	27593
525	21500	27549
526	21538	27505
527	21582	27469
528	21623	27427
529	21664	27387
530	21709	27351
531	21748	27308
532	21786	27263
533	21829	27225
534	21871	27185
535	21915	27149
536	21956	27108
537	22001	27072
538	22039	27028
539	22082	26989
540	22122	26948
541	22172	26917
542	22211	26874
543	22251	26833
544	22294	26793
545	22334	26752
546	22373	26708
547	22434	26692
548	22473	26649
549	22513	26606
550	22550	26561
551	22590	26519
552	22629	26476
553	22672	26437
554	22710	26393
555	22749	26350
556	22786	26305
557	22824	26260
558	22862	26215
559	22902	26174
560	22944	26134
561	22983	26091
562	23021	26047
563	23060	26004
564	23104	25966
565	23156	25938
566	23190	25890
567	23231	25849
568	23274	25810
569	23315	25769
570	23362	25735
571	23403	25694
572	23442	25652
573	23486	25613
574	23529	25575
575	23573	25538
576	23612	25494
577	23652	25453
578	23696	25415
579	23735	25372
580	23773	25328
581	23812	25285
582	23851	25242
583	23889	25198
584	23928	25155
585	23967	25112
586	24005	25068
587	24042	25024
588	24078	24977
589	24118	24935
590	24153	24889
591	24188	24842
592	24223	24795
593	24260	24750
594	24297	24706
595	24336	24662
596	24374	24619
597	24411	24574
598	24446	24528
599	24485	24485
600	24526	24444
601	24580	24417
602	24620	24375
603	24661	24335
604	24702	24294
605	24763	24273
606	24802	24230
607	24841	24187
608	24878	24143
609	24926	24109
610	24963	24064
611	25002	24021
612	25049	23987
613	25089	23945
614	25130	23904
615	25168	23860
616	25213	23823
617	25250	23779
618	25288	23735
619	25327	23693
620	25367	23651
621	25410	23612
622	25450	23571
623	25493	23532
624	25535	23492
625	25577	23453
626	25617	23411
627	25658	23370
628	25698	23328
629	25738	23287
630	25776	23243
631	25817	23203
632	25855	23159
633	25895	23118
634	25931	23072
635	25969	23029
636	26005	22984
637	26044	22942
638	26081	22897
639	26119	22854
640	26157	22811
641	26203	22774
642	26246	22736
643	26291	22699
644	26328	22654
645	26367	22612
646	26403	22567
647	26440	22523
648	26478	22480
649	26521	22441
650	26559	22398
651	26601	22358
652	26640	22316
653	26681	22275
654	26726	22237
655	26763	22194
656	26803	22152
657	26843	22111
658	26886	22072
659	26926	22030
660	26965	21988
661	27004	21946
662	27042	21903
663	27101	21877
664	27143	21837
665	27190	21801
666	27244	21771
667	27325	21761
668	27367	21722
669	27412	21684
670	27452	21642
671	27495	21603
672	27545	21569
673	27584	21527
674	27628	21488
675	27667	21446
676	27703	21401
677	27743	21359
678	27780	21316
679	27817	21272
680	27858	21231
681	27901	21191
682	27953	21159
683	27994	21118
684	28030	21074
685	28072	21034
686	28108	20988
687	28163	20958
688	28202	20916
689	28249	20879
690	28299	20845
691	28348	20810
692	28387	20768
693	28427	20726
694	28467	20684
695	28519	20651
696	28557	20608
697	28593	20564
698	28629	20519
699	28671	20479
700	28714	20440
701	28755	20399
702	28790	20354
703	28828	20310
704	28867	20268
705	28905	20225
706	28943	20182
707	28982	20140
708	29017	20095
709	29056	20052
710	29093	20009
711	29129	19965
712	29165	19920
713	29203	19878
714	29245	19837
715	29289	19798
716	29334	19761
717	29374	19719
718	29435	19691
719	29473	19648
720	29512	19607
721	29554	19566
722	29593	19524
723	29631	19481
724	29670	19439
725	29715	19401
726	29751	19356
727	29790	19314
728	29831	19273
729	29868	19230
730	29914	19192
731	29956	19152
732	29990	19107
733	30029	19064
734	30067	19022
735	30105	18979
736	30142	18936
737	30178	18891
738	30216	18849
739	30255	18807
740	30294	18765
741	30336	18725
742	30388	18690
743	30431	18651
744	30467	18607
745	30503	18564
746	30543	18522
747	30582	18480
748	30618	18436
749	30669	18401
750	30704	18357
751	30741	18314
752	30777	18270
753	30815	18227
754	30856	18186
755	30895	18144
756	30931	18101
757	30969	18058
758	31006	18015
759	31046	17974
760	31085	17932
761	31127	17892
762	31173	17854
763	31224	17819
764	31271	17781
765	31316	17743
766	31357	17702
767	31399	17662
768	31437	17619
769	31499	17590
770	31537	17548
771	31591	17514
772	31629	17471
773	31670	17431
774	31712	17390
775	31752	17349
776	31812	17318
777	31849	17275
778	31893	17236
779	31931	17194
780	31969	17151
781	32011	17110
782	32048	17067
783	32088	17026
784	32132	16987
785	32172	16945
786	32208	16902
787	32247	16860
788	32288	16819
789	32329	16778
790	32367	16736
791	32412	16697
792	32451	16655
793	32494	16615
794	32533	16573
795	32572	16531
796	32611	16489
797	32650	16448
798	32689	16406
799	32734	16367
800	32788	16332
801	32826	16290
802	32862	16247
803	32908	16208
804	32957	16171
805	33005	16134
806	33053	16096
807	33092	16054
808	33129	16011
809	33170	15970
810	33208	15928
811	33245	15885
812	33284	15843
813	33322	15801
814	33364	15761
815	33404	15719
816	33437	15675
817	33475	15632
818	33512	15590
819	33550	15547
820	33586	15504
821	33625	15462
822	33660	15419
823	33697	15376
824	33736	15334
825	33773	15291
826	33807	15248
827	33846	15206
828	33882	15163
829	33918	15120
830	33960	15080
831	33998	15037
832	34037	14996
833	34075	14953
834	34111	14910
835	34148	14868
836	34195	14830
837	34234	14788
838	34269	14745
839	34305	14702
840	34342	14660
841	34380	14617
842	34416	14574
843	34455	14533
844	34489	14489
845	34528	14448
846	34564	14405
847	34601	14362
848	34637	14320
849	34672	14277
850	34708	14234
851	34747	14192
852	34784	14150
853	34835	14113
854	34872	14071
855	34907	14028
856	34947	13987
857	34985	13945
858	35021	13902
859	35062	13862
860	35102	13820
861	35137	13777
862	35173	13735
863	35212	13693
864	35249	13651
865	35302	13615
866	35341	13574
867	35382	13533
868	35419	13491
869	35458	13449
870	35501	13410
871	35544	13369
872	35582	13328
873	35622	13287
874	35662	13245
875	35700	13204
876	35738	13162
877	35775	13120
878	35809	13077
879	35845	13034
880	35882	12992
881	35916	12949
882	35960	12909
883	36001	12869
884	36038	12827
885	36079	12786
886	36114	12744
887	36150	12701
888	36191	12660
889	36227	12618
890	36263	12576
891	36315	12539
892	36370	12503
893	36412	12463
894	36450	12421
895	36492	12381
896	36542	12343
897	36581	12302
898	36623	12262
899	36662	12220
900	36702	12179
901	36739	12137
902	36773	12094
903	36808	12052
904	36843	12009
905	36878	11967
906	36914	11925
907	36955	11884
908	36989	11841
909	37039	11803
910	37075	11761
911	37111	11719
912	37147	11677
913	37182	11634
914	37215	11591
915	37252	11550
916	37288	11507
917	37326	11466
918	37362	11424
919	37397	11381
920	37432	11339
921	37468	11297
922	37507	11256
923	37548	11215
924	37587	11174
925	37622	11132
926	37662	11091
927	37700	11050
928	37737	11008
929	37777	10967
930	37814	10926
931	37853	10884
932	37897	10845
933	37937	10804
934	37975	10763
935	38017	10722
936	38060	10683
937	38103	10642
938	38138	10600
939	38179	10560
940	38211	10517
941	38250	10476
942	38291	10435
943	38329	10394
944	38365	10352
945	38401	10310
946	38436	10268
947	38473	10227
948	38508	10185
949	38544	10143
950	38579	10101
951	38614	10059
952	38649	10017
953	38687	9976
954	38723	9934
955	38762	9893
956	38799	9851
957	38837	9810
958	38885	9772
959	38922	9730
960	38959	9689
961	39008	9650
962	39043	9608
963	39081	9567
964	39116	9525
965	39153	9484
966	39189	9442
967	39230	9402
968	39268	9361
969	39306	9319
970	39339	9277
971	39375	9236
972	39422	9197
973	39459	9155
974	39497	9114
975	39533	9073
976	39568	9031
977	39605	8990
978	39646	8949
979	39685	8908
980	39720	8867
981	39762	8827
982	39800	8785
983	39844	8746
984	39881	8705
985	39921	8664
986	39957	8623
987	39993	8581
988	40036	8541
989	40082	8502
990	40123	8462
991	40163	8421
992	40203	8380
993	40242	8339
994	40277	8298
995	40312	8256
996	40351	8216
997	40390	8175
998	40427	8133
999	40463	8092
1000	40499	8051
1001	40537	8010
1002	40572	7968
1003	40610	7927
1004	40651	7887
1005	40687	7846
1006	40723	7804
1007	40762	7764
1008	40795	7722
1009	40831	7681
1010	40868	7640
1011	40909	7599
1012	40950	7559
1013	40987	7518
1014	41027	7477
1015	41071	7438
1016	41105	7396
1017	41142	7355
1018	41182	7314
1019	41225	7275
1020	41267	7234
1021	41304	7193
1022	41339	7152
1023	41376	7111
1024	41411	7070
1025	41449	7029
1026	41484	6988
1027	41525	6947
1028	41559	6906
1029	41600	6866
1030	41641	6825
1031	41678	6784
1032	41713	6743
1033	41750	6702
1034	41786	6661
1035	41822	6620
1036	41857	6579
1037	41895	6538
1038	41929	6497
1039	41964	6456
1040	42000	6414
1041	42035	6373
1042	42070	6332
1043	42112	6292
1044	42149	6251
1045	42187	6211
1046	42223	6170
1047	42259	6129
1048	42297	6088
1049	42332	6047
1050	42383	6008
1051	42423	5968
1052	42458	5927
1053	42497	5886
1054	42538	5846
1055	42581	5806
1056	42620	5766
1057	42658	5725
1058	42695	5684
1059	42734	5644
1060	42771	5603
1061	42812	5563
1062	42849	5522
1063	42889	5482
1064	42924	5441
1065	42960	5400
1066	42998	5359
1067	43036	5319
1068	43070	5278
1069	43111	5237
1070	43171	5199
1071	43210	5159
1072	43247	5118
1073	43283	5078
1074	43320	5037
1075	43357	4996
1076	43396	4956
1077	43434	4915
1078	43473	4875
1079	43510	4834
1080	43562	4795
1081	43599	4754
1082	43632	4713
1083	43669	4673
1084	43703	4632
1085	43739	4591
1086	43774	4550
1087	43815	4510
1088	43847	4469
1089	43882	4428
1090	43916	4387
1091	43955	4347
1092	43999	4307
1093	44037	4266
1094	44079	4226
1095	44119	4186
1096	44158	4146
1097	44196	4105
1098	44234	4065
1099	44272	4024
1100	44309	3984
1101	44350	3944
