iter	Passed	Remaining
0	131	105447
1	172	68806
2	207	55142
3	241	48050
4	264	42031
5	315	41736
6	369	41803
7	406	40227
8	443	39003
9	479	37911
10	518	37205
11	540	35518
12	578	35019
13	619	34807
14	657	34433
15	692	33914
16	727	33502
17	761	33081
18	794	32671
19	830	32381
20	862	31994
21	894	31643
22	924	31228
23	959	31016
24	988	30640
25	1015	30223
26	1049	30040
27	1084	29902
28	1109	29505
29	1144	29378
30	1171	29062
31	1204	28910
32	1240	28834
33	1253	28239
34	1270	27778
35	1283	27246
36	1318	27189
37	1351	27102
38	1381	26961
39	1411	26811
40	1441	26688
41	1469	26528
42	1501	26425
43	1531	26310
44	1565	26265
45	1598	26202
46	1632	26146
47	1658	25986
48	1671	25622
49	1705	25581
50	1739	25541
51	1753	25216
52	1767	24906
53	1804	24931
54	1835	24863
55	1847	24540
56	1875	24448
57	1881	24072
58	1912	24024
59	1930	23806
60	1963	23782
61	1988	23665
62	2018	23616
63	2043	23500
64	2078	23504
65	2096	23318
66	2120	23203
67	2159	23243
68	2195	23255
69	2221	23165
70	2286	23478
71	2321	23472
72	2356	23465
73	2393	23477
74	2409	23296
75	2440	23245
76	2473	23224
77	2506	23204
78	2538	23166
79	2570	23132
80	2611	23180
81	2654	23246
82	2689	23234
83	2722	23204
84	2745	23096
85	2780	23085
86	2820	23117
87	2856	23108
88	2890	23092
89	2925	23081
90	2955	23023
91	2991	23024
92	3031	23042
93	3075	23095
94	3108	23068
95	3131	22965
96	3170	22977
97	3197	22905
98	3218	22788
99	3259	22815
100	3292	22789
101	3324	22748
102	3357	22722
103	3375	22590
104	3406	22545
105	3436	22502
106	3447	22326
107	3467	22219
108	3496	22164
109	3517	22066
110	3531	21920
111	3558	21860
112	3590	21830
113	3622	21799
114	3664	21826
115	3699	21813
116	3730	21777
117	3762	21747
118	3796	21724
119	3829	21701
120	3865	21688
121	3882	21573
122	3899	21461
123	3910	21316
124	3942	21290
125	3976	21269
126	4011	21256
127	4024	21129
128	4058	21108
129	4076	21008
130	4112	21003
131	4148	20995
132	4162	20875
133	4197	20860
134	4235	20864
135	4247	20737
136	4281	20719
137	4313	20694
138	4325	20567
139	4340	20460
140	4371	20433
141	4403	20406
142	4436	20384
143	4454	20292
144	4490	20282
145	4523	20260
146	4556	20242
147	4591	20228
148	4645	20297
149	4680	20281
150	4715	20266
151	4754	20267
152	4788	20247
153	4820	20221
154	4850	20184
155	4879	20142
156	4910	20112
157	4939	20072
158	4969	20035
159	5002	20008
160	5041	20010
161	5067	19957
162	5084	19870
163	5117	19845
164	5150	19819
165	5183	19798
166	5216	19773
167	5251	19755
168	5286	19737
169	5318	19708
170	5348	19673
171	5377	19633
172	5409	19606
173	5442	19579
174	5475	19556
175	5507	19525
176	5528	19457
177	5560	19429
178	5589	19390
179	5623	19368
180	5646	19309
181	5677	19278
182	5700	19220
183	5732	19192
184	5764	19163
185	5793	19123
186	5823	19090
187	5853	19055
188	5881	19014
189	5912	18982
190	5941	18944
191	5975	18923
192	6007	18895
193	6037	18860
194	6066	18822
195	6094	18782
196	6124	18747
197	6154	18713
198	6185	18681
199	6219	18657
200	6251	18630
201	6290	18622
202	6325	18601
203	6361	18585
204	6394	18559
205	6424	18526
206	6452	18483
207	6479	18442
208	6507	18400
209	6535	18362
210	6566	18328
211	6598	18300
212	6628	18266
213	6657	18229
214	6689	18201
215	6729	18194
216	6759	18160
217	6790	18128
218	6826	18111
219	6861	18088
220	6903	18085
221	6941	18072
222	6979	18060
223	7021	18056
